dateSold,lotAreaValue,priceChange,zestimate,imgSrc,initialPrice,detailUrl,bedrooms,longitude,latitude,listingStatus,zpid,rent,daysOnZillow,bathrooms,livingArea,country,currency,lotAreaUnit,hasImage,street,city,state,zip,currentPrice,loadDate
,0.0,0.0,0.0,https://photos.zillowstatic.com/fp/35dcce9322bc888c612c6636afbe0ef1-p_e.jpg,129900,/homedetails/391-Cortland-Ave-93-Syracuse-NY-13205/31680105_zpid/,6,-76.15335,43.03126,FOR_SALE,31680105,2882.0,0,4.0,4072,USA,USD,acres,true,391 Cortland Ave #93,syracuse,ny,13205,129900.0,2024-03-11
,4356.0,0.0,86700.0,https://photos.zillowstatic.com/fp/839ee37ea520f6012fcba12819908f72-p_e.jpg,84900,/homedetails/223-Elliott-St-Syracuse-NY-13204/31682759_zpid/,6,-76.171684,43.034718,FOR_SALE,31682759,2323.0,0,2.0,2066,USA,USD,sqft,true,223 Elliott St,syracuse,ny,13204,84900.0,2024-03-11
,4382.136,0.0,0.0,https://photos.zillowstatic.com/fp/772fb9740c2c23b0615b9b4270fe49fa-p_e.jpg,229900,/homedetails/126-Ashdale-Ave-Syracuse-NY-13206/31662792_zpid/,5,-76.10822,43.06959,FOR_SALE,31662792,0.0,1,3.0,3111,USA,USD,sqft,true,126 Ashdale Ave,syracuse,ny,13206,229900.0,2024-03-11
,3432.528,0.0,0.0,https://photos.zillowstatic.com/fp/ee2cfa8d91a10b33beae56a960831e3c-p_e.jpg,235000,/homedetails/601-603-Court-St-Syracuse-NY-13208/343958884_zpid/,9,-76.1565,43.071053,FOR_SALE,343958884,0.0,1,4.0,5808,USA,USD,sqft,true,601-603 Court St,syracuse,ny,13208,235000.0,2024-03-11
,8546.472,0.0,0.0,https://photos.zillowstatic.com/fp/3e3c73e3fd1c99ce60ed3f02dc0748ba-p_e.jpg,174900,/homedetails/2005-07-Court-St-Syracuse-NY-13208/31654544_zpid/,6,-76.14209,43.08095,FOR_SALE,31654544,0.0,1,2.0,2360,USA,USD,sqft,true,2005-07 Court St,syracuse,ny,13208,174900.0,2024-03-11
,4399.56,0.0,238400.0,https://photos.zillowstatic.com/fp/a8effc907dda087af23c67991ed09c74-p_e.jpg,225000,/homedetails/273-N-Collingwood-Ave-Syracuse-NY-13206/31662577_zpid/,6,-76.107994,43.072792,FOR_SALE,31662577,1229.0,1,3.0,2160,USA,USD,sqft,true,273 N Collingwood Ave,syracuse,ny,13206,225000.0,2024-03-11
,4748.04,0.0,147100.0,https://photos.zillowstatic.com/fp/a7e3bf51dab375dea1abf595fd2060ff-p_e.jpg,140000,/homedetails/309-Woodruff-Ave-11-Syracuse-NY-13203/31657301_zpid/,4,-76.13805,43.07138,FOR_SALE,31657301,1195.0,1,2.0,2064,USA,USD,sqft,true,309 Woodruff Ave #11,syracuse,ny,13203,140000.0,2024-03-11
,4538.952,0.0,0.0,https://photos.zillowstatic.com/fp/3e983aafa52fec86153b5c6d5d4c346c-p_e.jpg,199900,/homedetails/948-Emerson-Ave-Syracuse-NY-13204/31686564_zpid/,7,-76.195656,43.059654,FOR_SALE,31686564,0.0,0,3.0,3088,USA,USD,sqft,true,948 Emerson Ave,syracuse,ny,13204,199900.0,2024-03-11
,5410.152,0.0,0.0,https://photos.zillowstatic.com/fp/35fa1e0af643a9896d560921d9ac166a-p_e.jpg,136900,/homedetails/106-Pattison-St-Syracuse-NY-13203/188368773_zpid/,6,-76.12816,43.059605,FOR_SALE,188368773,2800.0,1,2.0,2496,USA,USD,sqft,true,106 Pattison St,syracuse,ny,13203,136900.0,2024-03-11
,5279.472,0.0,84700.0,https://photos.zillowstatic.com/fp/c502cfc87b5135d298436287d301f16c-p_e.jpg,84500,/homedetails/606-08-Newell-St-W-Syracuse-NY-13205/31675889_zpid/,6,-76.15495,43.016804,FOR_SALE,31675889,2659.0,1,2.0,2256,USA,USD,sqft,true,606-08 Newell St W,syracuse,ny,13205,84500.0,2024-03-11
