dateSold,lotAreaValue,priceChange,zestimate,imgSrc,initialPrice,detailUrl,bedrooms,longitude,latitude,listingStatus,zpid,rent,daysOnZillow,bathrooms,livingArea,country,currency,lotAreaUnit,hasImage,street,city,state,zip,currentPrice,loadDate
,0.0,0.0,837000.0,https://photos.zillowstatic.com/fp/05523f3d452405ed3ce6cf3f38443e78-p_e.jpg,650000,/homedetails/1960-Postgate-Ct-San-Jose-CA-95121/19806279_zpid/,3,-121.803215,37.307354,FOR_SALE,19806279,3362.0,1,2.0,1131,USA,USD,,true,1960 Postgate Ct,san jose,ca,95121,650000.0,2024-03-11
,0.0,-168000.0,1039800.0,https://photos.zillowstatic.com/fp/fb2790115ba4203c01e2c0c09b446888-p_e.jpg,1000000,/homedetails/1132-Mallow-Ter-San-Jose-CA-95133/124744332_zpid/,3,-121.8653,37.38144,FOR_SALE,124744332,3800.0,1,4.0,1587,USA,USD,,true,1132 Mallow Ter,san jose,ca,95133,832000.0,2024-03-11
,871.0,0.0,1265600.0,https://photos.zillowstatic.com/fp/6d06d477550b499bcb5704aeb1e85218-p_e.jpg,1199000,/homedetails/4242-Cosenza-Loop-San-Jose-CA-95134/19489946_zpid/,3,-121.960365,37.41508,FOR_SALE,19489946,3927.0,1,3.0,1405,USA,USD,sqft,true,4242 Cosenza Loop,san jose,ca,95134,1199000.0,2024-03-11
,860.0,0.0,1141200.0,https://photos.zillowstatic.com/fp/a15bbd2a7b00cd83a9818a748de27ae5-p_e.jpg,1100000,/homedetails/17-S-Keeble-Ave-San-Jose-CA-95126/59683023_zpid/,2,-121.91009,37.330704,FOR_SALE,59683023,3849.0,0,3.0,1678,USA,USD,sqft,true,17 S Keeble Ave,san jose,ca,95126,1100000.0,2024-03-11
,0.0,0.0,1286200.0,https://photos.zillowstatic.com/fp/a56598cb54ce4def201c0331d78b6c4d-p_e.jpg,1198950,/homedetails/1230-Oregold-Pl-San-Jose-CA-95131/19563632_zpid/,3,-121.89364,37.386017,FOR_SALE,19563632,3881.0,1,3.0,1790,USA,USD,,true,1230 Oregold Pl,san jose,ca,95131,1198950.0,2024-03-11
,0.0,0.0,837000.0,https://photos.zillowstatic.com/fp/05523f3d452405ed3ce6cf3f38443e78-p_e.jpg,650000,/homedetails/1960-Postgate-Ct-San-Jose-CA-95121/19806279_zpid/,3,-121.803215,37.307354,FOR_SALE,19806279,3362.0,1,2.0,1131,USA,USD,,true,1960 Postgate Ct,san jose,ca,95121,650000.0,2024-03-11
,0.0,-168000.0,1039800.0,https://photos.zillowstatic.com/fp/fb2790115ba4203c01e2c0c09b446888-p_e.jpg,1000000,/homedetails/1132-Mallow-Ter-San-Jose-CA-95133/124744332_zpid/,3,-121.8653,37.38144,FOR_SALE,124744332,3800.0,1,4.0,1587,USA,USD,,true,1132 Mallow Ter,san jose,ca,95133,832000.0,2024-03-11
,871.0,0.0,1265600.0,https://photos.zillowstatic.com/fp/6d06d477550b499bcb5704aeb1e85218-p_e.jpg,1199000,/homedetails/4242-Cosenza-Loop-San-Jose-CA-95134/19489946_zpid/,3,-121.960365,37.41508,FOR_SALE,19489946,3927.0,1,3.0,1405,USA,USD,sqft,true,4242 Cosenza Loop,san jose,ca,95134,1199000.0,2024-03-11
,860.0,0.0,1141200.0,https://photos.zillowstatic.com/fp/a15bbd2a7b00cd83a9818a748de27ae5-p_e.jpg,1100000,/homedetails/17-S-Keeble-Ave-San-Jose-CA-95126/59683023_zpid/,2,-121.91009,37.330704,FOR_SALE,59683023,3849.0,0,3.0,1678,USA,USD,sqft,true,17 S Keeble Ave,san jose,ca,95126,1100000.0,2024-03-11
,0.0,0.0,1286200.0,https://photos.zillowstatic.com/fp/a56598cb54ce4def201c0331d78b6c4d-p_e.jpg,1198950,/homedetails/1230-Oregold-Pl-San-Jose-CA-95131/19563632_zpid/,3,-121.89364,37.386017,FOR_SALE,19563632,3881.0,1,3.0,1790,USA,USD,,true,1230 Oregold Pl,san jose,ca,95131,1198950.0,2024-03-11
