dateSold,lotAreaValue,priceChange,zestimate,imgSrc,initialPrice,detailUrl,bedrooms,longitude,latitude,listingStatus,zpid,rent,daysOnZillow,bathrooms,livingArea,country,currency,lotAreaUnit,hasImage,street,city,state,zip,currentPrice,loadDate
,0.0,0.0,0.0,https://photos.zillowstatic.com/fp/1e196059a665712a9433e7b41fec27d8-p_e.jpg,1000,/homedetails/106-Onondaga-Ave-Syracuse-NY-13204/31682583_zpid/,4,-76.165054,43.034523,FOR_SALE,31682583,2529.0,1,2.0,2722,USA,USD,,true,106 Onondaga Ave,syracuse,ny,13204,1000.0,2024-03-12
,0.0,0.0,0.0,https://photos.zillowstatic.com/fp/ae30d29ca8781ea69de110a0e8d06cb5-p_e.jpg,309000,/homedetails/5001-Phaeton-Ln-Syracuse-NY-13215/31758884_zpid/,4,-76.27169,43.0109,FOR_SALE,31758884,0.0,1,3.0,2208,USA,USD,acres,true,5001 Phaeton Ln,syracuse,ny,13215,309000.0,2024-03-12
,0.0,0.0,0.0,https://photos.zillowstatic.com/fp/17800acf38c119099e96eacc825d0f42-p_e.jpg,229900,/homedetails/4256-Fay-Rd-Syracuse-NY-13219/31757736_zpid/,3,-76.21856,43.02703,FOR_SALE,31757736,0.0,1,2.0,1793,USA,USD,acres,true,4256 Fay Rd,syracuse,ny,13219,229900.0,2024-03-12
,0.0,0.0,0.0,https://photos.zillowstatic.com/fp/1660cfd632860a1cca7728d6d8902afd-p_e.jpg,174900,/homedetails/104-Blueberry-Ln-Syracuse-NY-13219/31692096_zpid/,3,-76.2327,43.04131,FOR_SALE,31692096,0.0,6,2.0,1364,USA,USD,acres,true,104 Blueberry Ln,syracuse,ny,13219,174900.0,2024-03-12
,0.0,0.0,0.0,https://photos.zillowstatic.com/fp/b36c70b67782c59d08bf2e8414f7d276-p_e.jpg,229900,/homedetails/278-Ross-Park-Syracuse-NY-13208/31654793_zpid/,4,-76.14664,43.07738,FOR_SALE,31654793,0.0,1,4.0,2616,USA,USD,acres,true,278 Ross Park,syracuse,ny,13208,229900.0,2024-03-12
,5427.576,0.0,0.0,https://photos.zillowstatic.com/fp/92a453cff76baf190177692f63e4685d-p_e.jpg,185000,/homedetails/105-Eastman-Ave-Syracuse-NY-13207/188231023_zpid/,3,-76.159836,43.02162,FOR_SALE,188231023,0.0,1,3.0,2558,USA,USD,sqft,true,105 Eastman Ave,syracuse,ny,13207,185000.0,2024-03-12
,3846.348,0.0,151100.0,https://photos.zillowstatic.com/fp/d724498c3300c26269d6a3f522adfe7b-p_e.jpg,154900,/homedetails/126-Grove-St-Syracuse-NY-13207/31675143_zpid/,3,-76.156425,43.010574,FOR_SALE,31675143,1645.0,1,1.0,1480,USA,USD,sqft,true,126 Grove St,syracuse,ny,13207,154900.0,2024-03-12
,0.0,0.0,0.0,https://photos.zillowstatic.com/fp/708cbd6df11f666bf746f68aeacf34b5-p_e.jpg,469900,/homedetails/401-Sedgwick-Dr-Syracuse-NY-13203/31659172_zpid/,5,-76.1322,43.065426,FOR_SALE,31659172,0.0,1,4.0,2530,USA,USD,acres,true,401 Sedgwick Dr,syracuse,ny,13203,469900.0,2024-03-12
,0.0,0.0,0.0,https://photos.zillowstatic.com/fp/334f554d94887d00bb18c4687ece59de-p_e.jpg,300000,/homedetails/4454-Kasson-Rd-Syracuse-NY-13215/31760411_zpid/,4,-76.25943,42.982037,FOR_SALE,31760411,0.0,1,2.0,2275,USA,USD,acres,true,4454 Kasson Rd,syracuse,ny,13215,300000.0,2024-03-12
,3833.28,0.0,0.0,https://photos.zillowstatic.com/fp/a75db551026939427c19fa4dc1bcc6d2-p_e.jpg,150000,/homedetails/328-Wilson-St-Syracuse-NY-13203/31660908_zpid/,3,-76.1245,43.061256,FOR_SALE,31660908,0.0,1,2.0,1680,USA,USD,sqft,true,328 Wilson St,syracuse,ny,13203,150000.0,2024-03-12
,0.0,0.0,0.0,https://photos.zillowstatic.com/fp/d7c1e5a4310dfe2051cf980e24f21025-p_e.jpg,15000,/homedetails/757-W-Onondaga-St-W-Syracuse-NY-13204/2053516501_zpid/,6,-76.16359,43.035786,FOR_SALE,2053516501,1327.0,1,4.0,3906,USA,USD,,true,757 W Onondaga St #W,syracuse,ny,13204,15000.0,2024-03-12
,6250.86,0.0,152300.0,https://photos.zillowstatic.com/fp/bc11f9078036a43f77eb90033b114a50-p_e.jpg,140000,/homedetails/413-Schaffer-Ave-Syracuse-NY-13206/31775071_zpid/,3,-76.12135,43.080288,FOR_SALE,31775071,1849.0,1,1.0,1196,USA,USD,sqft,true,413 Schaffer Ave,syracuse,ny,13206,140000.0,2024-03-12
,2252.052,0.0,0.0,https://photos.zillowstatic.com/fp/bd77304a80962280a16a52749560a3d2-p_e.jpg,159900,/homedetails/201-Dale-St-Syracuse-NY-13208/31654747_zpid/,3,-76.14413,43.076145,FOR_SALE,31654747,0.0,1,1.0,1188,USA,USD,sqft,true,201 Dale St,syracuse,ny,13208,159900.0,2024-03-12
,4090.284,0.0,0.0,https://photos.zillowstatic.com/fp/6b2cf2478435a1963a0b50afafe5f07d-p_e.jpg,140000,/homedetails/136-W-Newell-St-Syracuse-NY-13205/31676525_zpid/,3,-76.144325,43.018013,FOR_SALE,31676525,1794.0,1,1.0,1664,USA,USD,sqft,true,136 W Newell St,syracuse,ny,13205,140000.0,2024-03-12
