dateSold,lotAreaValue,priceChange,zestimate,imgSrc,initialPrice,detailUrl,bedrooms,longitude,latitude,listingStatus,zpid,rent,daysOnZillow,bathrooms,livingArea,country,currency,lotAreaUnit,hasImage,street,city,state,zip,currentPrice,loadDate
,2178.0,0.0,1309100.0,https://photos.zillowstatic.com/fp/677cfdbec825672c21f3cf5c61556215-p_e.jpg,1300000,/homedetails/124-Nottaway-Ln-Alpharetta-GA-30009/108599857_zpid/,4,-84.29257,34.06852,FOR_SALE,108599857,5599.0,7,5.0,4581,USA,USD,sqft,true,124 Nottaway Ln,alpharetta,ga,30009,1300000.0,2024-03-12
,1219.68,0.0,0.0,https://photos.zillowstatic.com/fp/0c71c291f18ca61b924ce525fe502c3d-p_e.jpg,315000,/homedetails/5006-Avalon-Dr-Alpharetta-GA-30005/14650100_zpid/,2,-84.24949,34.065315,FOR_SALE,14650100,0.0,1,2.0,1222,USA,USD,sqft,true,5006 Avalon Dr,alpharetta,ga,30005,315000.0,2024-03-12
,1197.9,0.0,346000.0,https://photos.zillowstatic.com/fp/3a493b42c07ddef1c45956ccbab30929-p_e.jpg,350000,/homedetails/1631-Homestead-Trl-Alpharetta-GA-30004/14689246_zpid/,3,-84.27996,34.08371,FOR_SALE,14689246,2299.0,1,2.0,1241,USA,USD,sqft,true,1631 Homestead Trl,alpharetta,ga,30004,350000.0,2024-03-12
,871.2,0.0,500900.0,https://photos.zillowstatic.com/fp/4c36506f3e626d0a4d1fdd7bb6ee6ae1-p_e.jpg,500000,/homedetails/11177-Calypso-Dr-Alpharetta-GA-30009/71752219_zpid/,2,-84.30149,34.052963,FOR_SALE,71752219,2500.0,4,3.0,1720,USA,USD,sqft,true,11177 Calypso Dr,alpharetta,ga,30009,500000.0,2024-03-12
,2265.12,0.0,666000.0,https://photos.zillowstatic.com/fp/d6581ec6aeb7a51cc77960fdd0986f93-p_e.jpg,665000,/homedetails/525-Burton-Dr-706-Alpharetta-GA-30009/2062789215_zpid/,3,-84.29471,34.067142,FOR_SALE,2062789215,3143.0,1,3.0,1988,USA,USD,sqft,true,525 Burton Dr #706,alpharetta,ga,30009,665000.0,2024-03-12
,2178.0,0.0,1309100.0,https://photos.zillowstatic.com/fp/677cfdbec825672c21f3cf5c61556215-p_e.jpg,1300000,/homedetails/124-Nottaway-Ln-Alpharetta-GA-30009/108599857_zpid/,4,-84.29257,34.06852,FOR_SALE,108599857,5599.0,7,5.0,4581,USA,USD,sqft,true,124 Nottaway Ln,alpharetta,ga,30009,1300000.0,2024-03-12
,1219.68,0.0,0.0,https://photos.zillowstatic.com/fp/0c71c291f18ca61b924ce525fe502c3d-p_e.jpg,315000,/homedetails/5006-Avalon-Dr-Alpharetta-GA-30005/14650100_zpid/,2,-84.24949,34.065315,FOR_SALE,14650100,0.0,1,2.0,1222,USA,USD,sqft,true,5006 Avalon Dr,alpharetta,ga,30005,315000.0,2024-03-12
,1197.9,0.0,346000.0,https://photos.zillowstatic.com/fp/3a493b42c07ddef1c45956ccbab30929-p_e.jpg,350000,/homedetails/1631-Homestead-Trl-Alpharetta-GA-30004/14689246_zpid/,3,-84.27996,34.08371,FOR_SALE,14689246,2299.0,1,2.0,1241,USA,USD,sqft,true,1631 Homestead Trl,alpharetta,ga,30004,350000.0,2024-03-12
,871.2,0.0,500900.0,https://photos.zillowstatic.com/fp/4c36506f3e626d0a4d1fdd7bb6ee6ae1-p_e.jpg,500000,/homedetails/11177-Calypso-Dr-Alpharetta-GA-30009/71752219_zpid/,2,-84.30149,34.052963,FOR_SALE,71752219,2500.0,4,3.0,1720,USA,USD,sqft,true,11177 Calypso Dr,alpharetta,ga,30009,500000.0,2024-03-12
,2265.12,0.0,666000.0,https://photos.zillowstatic.com/fp/d6581ec6aeb7a51cc77960fdd0986f93-p_e.jpg,665000,/homedetails/525-Burton-Dr-706-Alpharetta-GA-30009/2062789215_zpid/,3,-84.29471,34.067142,FOR_SALE,2062789215,3143.0,1,3.0,1988,USA,USD,sqft,true,525 Burton Dr #706,alpharetta,ga,30009,665000.0,2024-03-12
