dateSold,lotAreaValue,priceChange,zestimate,initialPrice,bedrooms,longitude,latitude,listingStatus,zpid,rent,daysOnZillow,bathrooms,livingArea,country,currency,lotAreaUnit,hasImage,street,city,state,zip,currentPrice,loadDate
,0.0,0.0,0.0,1399000,4,-121.92046,37.310375,FOR_SALE,344647926,0.0,0,3.0,2582,USA,USD,acres,true,994-996 Goodwin Ave,San Jose,CA,95128,1399000.0,2024-03-13
,0.0,0.0,0.0,1399000,4,-121.92046,37.310375,FOR_SALE,344647926,0.0,0,3.0,2582,USA,USD,acres,true,994-996 Goodwin Ave,San Jose,CA,95128,1399000.0,2024-03-13
,0.0,0.0,0.0,1399000,4,-121.92046,37.310375,FOR_SALE,344647926,0.0,0,3.0,2582,USA,USD,acres,true,994-996 Goodwin Ave,San Jose,CA,95128,1399000.0,2024-03-13
,4356.0,0.0,86200.0,84900,6,-76.171684,43.034718,FOR_SALE,31682759,2323.0,1,2.0,2066,USA,USD,sqft,true,223 Elliott St,Syracuse,NY,13204,84900.0,2024-03-13
,0.0,0.0,0.0,129900,6,-76.15335,43.03126,FOR_SALE,31680105,2882.0,1,4.0,4072,USA,USD,acres,true,391 Cortland Ave #93,Syracuse,NY,13205,129900.0,2024-03-13
,0.0,0.0,0.0,100000,6,-76.14052,43.014843,FOR_SALE,31676644,0.0,0,2.0,2844,USA,USD,acres,true,3401 S Salina St,Syracuse,NY,13205,100000.0,2024-03-13
,7501.032,0.0,0.0,165000,3,-76.154,43.09393,FOR_SALE,31772290,0.0,0,2.0,1518,USA,USD,sqft,true,313 Garden City Dr,Syracuse,NY,13211,165000.0,2024-03-13
,5410.152,0.0,0.0,136900,6,-76.12816,43.059605,FOR_SALE,188368773,2800.0,1,2.0,2496,USA,USD,sqft,true,106 Pattison St,Syracuse,NY,13203,136900.0,2024-03-13
,4382.136,0.0,0.0,229900,5,-76.10822,43.06959,FOR_SALE,31662792,0.0,1,3.0,3111,USA,USD,sqft,true,126 Ashdale Ave,Syracuse,NY,13206,229900.0,2024-03-13
,0.0,0.0,0.0,1000,6,-76.16163,43.034393,FOR_SALE,31683201,2800.0,1,2.0,2484,USA,USD,,true,216 Rich St,Syracuse,NY,13204,1000.0,2024-03-13
,4538.952,0.0,0.0,199900,7,-76.195656,43.059654,FOR_SALE,31686564,0.0,1,3.0,3088,USA,USD,sqft,true,948 Emerson Ave,Syracuse,NY,13204,199900.0,2024-03-13
,4495.392,0.0,121100.0,130000,5,-76.14715,43.020935,FOR_SALE,31677331,2488.0,1,2.0,1824,USA,USD,sqft,true,125 Forest Ave,Syracuse,NY,13205,130000.0,2024-03-13
,8546.472,0.0,0.0,174900,6,-76.14209,43.08095,FOR_SALE,31654544,0.0,1,2.0,2360,USA,USD,sqft,true,2005-07 Court St,Syracuse,NY,13208,174900.0,2024-03-13
,5279.472,0.0,153500.0,145000,6,-76.1819,43.031837,FOR_SALE,31681066,1690.0,1,2.0,2572,USA,USD,sqft,true,122 Reed Ave #24,Syracuse,NY,13207,145000.0,2024-03-13
,0.0,0.0,0.0,6000,5,-76.14842,43.02862,FOR_SALE,31679777,2529.0,1,3.0,2940,USA,USD,,true,138-40 McLennan Ave,Syracuse,NY,13205,6000.0,2024-03-13
,4399.56,0.0,236600.0,225000,6,-76.107994,43.072792,FOR_SALE,31662577,1229.0,1,3.0,2160,USA,USD,sqft,true,273 N Collingwood Ave,Syracuse,NY,13206,225000.0,2024-03-13
