dateSold,lotAreaValue,priceChange,zestimate,initialPrice,bedrooms,longitude,latitude,listingStatus,zpid,rent,daysOnZillow,bathrooms,livingArea,country,currency,lotAreaUnit,hasImage,street,city,state,zip,currentPrice,loadDate
,0.0,0.0,0.0,1000,4,-76.165054,43.034523,FOR_SALE,31682583,2529.0,1,2.0,2722,USA,USD,,true,106 Onondaga Ave,Syracuse,NY,13204,1000.0,2024-03-13
,5719.428,0.0,0.0,164900,4,-76.196236,43.043804,FOR_SALE,31732885,0.0,1,2.0,1463,USA,USD,sqft,true,511 Montrose Ave,Syracuse,NY,13219,164900.0,2024-03-13
,0.0,0.0,0.0,229900,3,-76.21856,43.02703,FOR_SALE,31757736,0.0,1,2.0,1793,USA,USD,acres,true,4256 Fay Rd,Syracuse,NY,13219,229900.0,2024-03-13
,0.0,0.0,0.0,229900,4,-76.14664,43.07738,FOR_SALE,31654793,0.0,2,4.0,2616,USA,USD,acres,true,278 Ross Park,Syracuse,NY,13208,229900.0,2024-03-13
,2252.052,0.0,0.0,159900,3,-76.14413,43.076145,FOR_SALE,31654747,0.0,1,1.0,1188,USA,USD,sqft,true,201 Dale St,Syracuse,NY,13208,159900.0,2024-03-13
,6708.24,0.0,0.0,99900,3,-76.14854,43.011215,FOR_SALE,31675267,0.0,1,1.0,792,USA,USD,sqft,true,125 Pierce St,Syracuse,NY,13205,99900.0,2024-03-13
,0.0,0.0,0.0,469900,5,-76.1322,43.065426,FOR_SALE,31659172,0.0,1,4.0,2530,USA,USD,acres,true,401 Sedgwick Dr,Syracuse,NY,13203,469900.0,2024-03-13
,3846.348,0.0,151100.0,154900,3,-76.156425,43.010574,FOR_SALE,31675143,1645.0,1,1.0,1480,USA,USD,sqft,true,126 Grove St,Syracuse,NY,13207,154900.0,2024-03-13
,3833.28,0.0,0.0,150000,3,-76.1245,43.061256,FOR_SALE,31660908,0.0,1,2.0,1680,USA,USD,sqft,true,328 Wilson St,Syracuse,NY,13203,150000.0,2024-03-13
,0.0,0.0,0.0,300000,4,-76.25943,42.982037,FOR_SALE,31760411,0.0,1,2.0,2275,USA,USD,acres,true,4454 Kasson Rd,Syracuse,NY,13215,300000.0,2024-03-13
,5427.576,0.0,0.0,185000,3,-76.159836,43.02162,FOR_SALE,188231023,0.0,1,3.0,2558,USA,USD,sqft,true,105 Eastman Ave,Syracuse,NY,13207,185000.0,2024-03-13
,7501.032,0.0,0.0,249900,3,-76.2366,43.041695,FOR_SALE,31691967,0.0,0,1.0,1400,USA,USD,sqft,true,107 Arbordale Pl,Syracuse,NY,13219,249900.0,2024-03-13
,1.0,0.0,189400.0,395000,4,-76.287605,42.984356,FOR_SALE,31760231,2999.0,1,2.0,2304,USA,USD,acres,true,3223 W Seneca Tpke,Syracuse,NY,13215,395000.0,2024-03-13
,5279.472,0.0,154900.0,165000,3,-76.11024,43.066536,FOR_SALE,31663135,1949.0,1,2.0,1212,USA,USD,sqft,true,172 Woodbine Ave,Syracuse,NY,13206,165000.0,2024-03-13
,0.0,30000.0,606300.0,629900,4,-76.12697,43.031284,FOR_SALE,31670190,4702.0,1,4.0,3291,USA,USD,acres,true,310 Berkeley Dr,Syracuse,NY,13210,659900.0,2024-03-13
,5823.972,0.0,0.0,70000,3,-76.15933,43.03596,FOR_SALE,31683147,0.0,1,1.0,1592,USA,USD,sqft,true,713 Tallman St,Syracuse,NY,13204,70000.0,2024-03-13
,0.0,0.0,0.0,15000,6,-76.16359,43.035786,FOR_SALE,2053516501,1327.0,1,4.0,3906,USA,USD,,true,757 W Onondaga St #W,Syracuse,NY,13204,15000.0,2024-03-13
,10349.856,0.0,170000.0,159900,2,-76.15828,43.008205,FOR_SALE,31675484,2400.0,1,2.0,1716,USA,USD,sqft,true,200 Camp Ave,Syracuse,NY,13207,159900.0,2024-03-13
,0.0,0.0,0.0,10000,10,-76.162315,43.037624,FOR_SALE,188236406,2900.0,1,2.0,5198,USA,USD,,true,678 W Onondaga St,Syracuse,NY,13204,10000.0,2024-03-13
,2204.136,0.0,0.0,575000,3,-76.25509,43.055965,FOR_SALE,98128929,0.0,6,3.0,2652,USA,USD,sqft,true,5887 Aries Way,Syracuse,NY,13209,575000.0,2024-03-13
,4090.284,0.0,0.0,140000,3,-76.144325,43.018013,FOR_SALE,31676525,1794.0,1,1.0,1664,USA,USD,sqft,true,136 W Newell St,Syracuse,NY,13205,140000.0,2024-03-13
