dateSold,lotAreaValue,priceChange,zestimate,initialPrice,bedrooms,longitude,latitude,listingStatus,zpid,rent,daysOnZillow,bathrooms,livingArea,country,currency,lotAreaUnit,hasImage,street,city,state,zip,currentPrice,loadDate
,1219.68,0.0,0.0,315000,2,-84.24949,34.065315,FOR_SALE,14650100,0.0,1,2.0,1222,USA,USD,sqft,true,5006 Avalon Dr,Alpharetta,GA,30005,315000.0,2024-03-13
,871.2,0.0,396700.0,389900,3,-84.245995,34.10695,FOR_SALE,68636809,1997.0,1,3.0,1386,USA,USD,sqft,true,920 Prestwyck Ct,Alpharetta,GA,30004,389900.0,2024-03-13
,1197.9,0.0,346100.0,350000,3,-84.27996,34.08371,FOR_SALE,14689246,2350.0,1,2.0,1241,USA,USD,sqft,true,1631 Homestead Trl,Alpharetta,GA,30004,350000.0,2024-03-13
,3049.2,0.0,463000.0,449900,3,-84.24388,34.12933,FOR_SALE,68638468,2500.0,1,3.0,2080,USA,USD,sqft,true,453 Grayson Way,Alpharetta,GA,30004,449900.0,2024-03-13
,1045.44,0.0,503000.0,500000,2,-84.30149,34.05298,FOR_SALE,71752219,2500.0,6,3.0,1720,USA,USD,sqft,true,11177 Calypso Dr,Alpharetta,GA,30009,500000.0,2024-03-13
,1306.8,0.0,661200.0,678000,4,-84.300446,34.05257,FOR_SALE,82617654,4200.0,1,4.0,3750,USA,USD,sqft,true,1871 Adagio Dr,Alpharetta,GA,30009,678000.0,2024-03-13
,2178.0,0.0,1309100.0,1300000,4,-84.29257,34.06852,FOR_SALE,108599857,5599.0,9,5.0,4581,USA,USD,sqft,true,124 Nottaway Ln,Alpharetta,GA,30009,1300000.0,2024-03-13
,1219.68,0.0,0.0,315000,2,-84.24949,34.065315,FOR_SALE,14650100,0.0,1,2.0,1222,USA,USD,sqft,true,5006 Avalon Dr,Alpharetta,GA,30005,315000.0,2024-03-13
,871.2,0.0,396700.0,389900,3,-84.245995,34.10695,FOR_SALE,68636809,1997.0,1,3.0,1386,USA,USD,sqft,true,920 Prestwyck Ct,Alpharetta,GA,30004,389900.0,2024-03-13
,1197.9,0.0,346100.0,350000,3,-84.27996,34.08371,FOR_SALE,14689246,2350.0,1,2.0,1241,USA,USD,sqft,true,1631 Homestead Trl,Alpharetta,GA,30004,350000.0,2024-03-13
,3049.2,0.0,463000.0,449900,3,-84.24388,34.12933,FOR_SALE,68638468,2500.0,1,3.0,2080,USA,USD,sqft,true,453 Grayson Way,Alpharetta,GA,30004,449900.0,2024-03-13
,1045.44,0.0,503000.0,500000,2,-84.30149,34.05298,FOR_SALE,71752219,2500.0,6,3.0,1720,USA,USD,sqft,true,11177 Calypso Dr,Alpharetta,GA,30009,500000.0,2024-03-13
,1306.8,0.0,661200.0,678000,4,-84.300446,34.05257,FOR_SALE,82617654,4200.0,1,4.0,3750,USA,USD,sqft,true,1871 Adagio Dr,Alpharetta,GA,30009,678000.0,2024-03-13
,2178.0,0.0,1309100.0,1300000,4,-84.29257,34.06852,FOR_SALE,108599857,5599.0,9,5.0,4581,USA,USD,sqft,true,124 Nottaway Ln,Alpharetta,GA,30009,1300000.0,2024-03-13
,1219.68,0.0,0.0,315000,2,-84.24949,34.065315,FOR_SALE,14650100,0.0,1,2.0,1222,USA,USD,sqft,true,5006 Avalon Dr,Alpharetta,GA,30005,315000.0,2024-03-13
,871.2,0.0,396700.0,389900,3,-84.245995,34.10695,FOR_SALE,68636809,1997.0,1,3.0,1386,USA,USD,sqft,true,920 Prestwyck Ct,Alpharetta,GA,30004,389900.0,2024-03-13
,1197.9,0.0,346100.0,350000,3,-84.27996,34.08371,FOR_SALE,14689246,2350.0,1,2.0,1241,USA,USD,sqft,true,1631 Homestead Trl,Alpharetta,GA,30004,350000.0,2024-03-13
,3049.2,0.0,463000.0,449900,3,-84.24388,34.12933,FOR_SALE,68638468,2500.0,1,3.0,2080,USA,USD,sqft,true,453 Grayson Way,Alpharetta,GA,30004,449900.0,2024-03-13
,1045.44,0.0,503000.0,500000,2,-84.30149,34.05298,FOR_SALE,71752219,2500.0,6,3.0,1720,USA,USD,sqft,true,11177 Calypso Dr,Alpharetta,GA,30009,500000.0,2024-03-13
,1306.8,0.0,661200.0,678000,4,-84.300446,34.05257,FOR_SALE,82617654,4200.0,1,4.0,3750,USA,USD,sqft,true,1871 Adagio Dr,Alpharetta,GA,30009,678000.0,2024-03-13
,2178.0,0.0,1309100.0,1300000,4,-84.29257,34.06852,FOR_SALE,108599857,5599.0,9,5.0,4581,USA,USD,sqft,true,124 Nottaway Ln,Alpharetta,GA,30009,1300000.0,2024-03-13
,1219.68,0.0,0.0,315000,2,-84.24949,34.065315,FOR_SALE,14650100,0.0,1,2.0,1222,USA,USD,sqft,true,5006 Avalon Dr,Alpharetta,GA,30005,315000.0,2024-03-13
,871.2,0.0,396700.0,389900,3,-84.245995,34.10695,FOR_SALE,68636809,1997.0,1,3.0,1386,USA,USD,sqft,true,920 Prestwyck Ct,Alpharetta,GA,30004,389900.0,2024-03-13
,1197.9,0.0,346100.0,350000,3,-84.27996,34.08371,FOR_SALE,14689246,2350.0,1,2.0,1241,USA,USD,sqft,true,1631 Homestead Trl,Alpharetta,GA,30004,350000.0,2024-03-13
,3049.2,0.0,463000.0,449900,3,-84.24388,34.12933,FOR_SALE,68638468,2500.0,1,3.0,2080,USA,USD,sqft,true,453 Grayson Way,Alpharetta,GA,30004,449900.0,2024-03-13
,1045.44,0.0,503000.0,500000,2,-84.30149,34.05298,FOR_SALE,71752219,2500.0,6,3.0,1720,USA,USD,sqft,true,11177 Calypso Dr,Alpharetta,GA,30009,500000.0,2024-03-13
,1306.8,0.0,661200.0,678000,4,-84.300446,34.05257,FOR_SALE,82617654,4200.0,1,4.0,3750,USA,USD,sqft,true,1871 Adagio Dr,Alpharetta,GA,30009,678000.0,2024-03-13
,2178.0,0.0,1309100.0,1300000,4,-84.29257,34.06852,FOR_SALE,108599857,5599.0,9,5.0,4581,USA,USD,sqft,true,124 Nottaway Ln,Alpharetta,GA,30009,1300000.0,2024-03-13
